id,company1,company2,company3,company4,company5,company6,namemine,town,province,latitude,longitude,open1,close1,open2,close2,open3,close3,commodity1,commodity2,commodity3,commodity4,commodity5,commodity6,commodity7,commodity8,active_status
870,Terra Mining and Exploitation,N/A,N/A,N/A,N/A,N/A,Bullmoose,Port Radium,Northwest Territories,65.60416667,-118.1166667,1968,1985,N/A,N/A,N/A,N/A,Silver,Copper,Lead,Zinc,N/A,N/A,N/A,N/A,False
871,Midland Mining,N/A,N/A,N/A,N/A,N/A,N/A,Minto,New Brunswick,46.07595292,-66.0748075,1969,1969,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
872,Manalta Coal,TransAlberta Utilities,TransAlta Utilities,Transalta,N/A,N/A,Highvale,Seba Beach,Alberta,53.4692849,-114.5245868,1969,2021,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
873,United Asbestos,N/A,N/A,N/A,N/A,N/A,N/A,Matachewan,Ontario,47.88154,-81.00254,1970,1978,N/A,N/A,N/A,N/A,Asbestos,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
874,Greyhound Mines,N/A,N/A,N/A,N/A,N/A,N/A,Greenwood,British Columbia,49.101666,-118.70277,1970,1971,N/A,N/A,N/A,N/A,Copper,Gold,Silver,Cobalt,N/A,N/A,N/A,N/A,False
875,Brenda Mines,N/A,N/A,N/A,N/A,N/A,N/A,Peachland,British Columbia,49.879443,-120.00638,1970,1990,N/A,N/A,N/A,N/A,Copper,Molybdenum,Silver,Gold,Zinc,Lead,N/A,N/A,False
876,Sherritt Gordon Mines,N/A,N/A,N/A,N/A,N/A,N/A,Fox Lake,Manitoba,56.63333333,-101.6430556,1970,1985,N/A,N/A,N/A,N/A,Copper,Zinc,Silver,Gold,N/A,N/A,N/A,N/A,False
877,Churchill Copper,Consolidated Churchill Copper,N/A,N/A,N/A,N/A,N/A,Fort Nelson,British Columbia,58.510833,-125.40472,1970,1974,N/A,N/A,N/A,N/A,Copper,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
878,Placid Oil,N/A,N/A,N/A,N/A,N/A,N/A,Bull River,British Columbia,49.503333,-115.38583,1971,1974,N/A,N/A,N/A,N/A,Copper,Silver,Gold,Lead,Zinc,N/A,N/A,N/A,False
879,Ming Minerals,Rambler Metals and Mining PLC,N/A,N/A,N/A,N/A,Ming,Baie Verte,Newfoundland and Labrador,49.91535301,-56.08697945,1971,2019,N/A,N/A,N/A,N/A,Copper,Gold,Silver,Zinc,N/A,N/A,N/A,N/A,False
880,Prime Resources Group,Homestake Mining Company,Barrick Gold,N/A,N/A,N/A,Eskay Creek,Stewart,British Columbia,56.653888,-130.42888,1971,2008,N/A,N/A,N/A,N/A,Gold,Silver,Zinc,Copper,Lead,N/A,N/A,N/A,False
881,Cape Breton Development,N/A,N/A,N/A,N/A,N/A,Lingan,New Waterford,Nova Scotia,46.25249299,-60.0978728,1972,1992,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
882,Mattabi Mines,N/A,N/A,N/A,N/A,N/A,N/A,Sturgeon Lake,Ontario,49.87404,-90.97111,1972,1988,N/A,N/A,N/A,N/A,Copper,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
883,Fording Coal,N/A,N/A,N/A,N/A,N/A,Fording River,Elkford,British Columbia,50.194999,-114.84138,1972,2022,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
884,Lornex Mining,N/A,N/A,N/A,N/A,N/A,N/A,Highland Valley,British Columbia,50.450277,-121.04305,1972,1986,N/A,N/A,N/A,N/A,Copper,Molybdenum,Silver,Gold,Zinc,N/A,N/A,N/A,False
885,Luscar,N/A,N/A,N/A,N/A,N/A,Boundary Dam,Estevan,Saskatchewan,49.105929,-103.0202158,1973,2019,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
886,Sheridan Geophysics,N/A,N/A,N/A,N/A,N/A,Maybrun,Atikwa - Populus Lake,Ontario,49.42166,-93.65084,1973,1974,N/A,N/A,N/A,N/A,Copper,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
887,Falconbridge Copper,N/A,N/A,N/A,N/A,N/A,Sturgeon Lake Property,Sturgeon Lake,Ontario,49.86967,-90.87355,1974,1980,N/A,N/A,N/A,N/A,Copper,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
888,Asbury Graphite Quebec,N/A,N/A,N/A,N/A,N/A,N/A,Notre-Dame-du-Laus,Quebec,46.144042,-75.552239,1975,1975,1980,1988,N/A,N/A,Graphite,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
889,Pine Point Mines,N/A,N/A,N/A,N/A,N/A,N/A,Pine Point,Northwest Territories,60.83333333,-114.5,1975,1976,1983,1987,N/A,N/A,Zinc,Lead,N/A,N/A,N/A,N/A,N/A,N/A,False
