id,company1,company2,company3,company4,company5,company6,namemine,town,province,latitude,longitude,open1,close1,open2,close2,open3,close3,commodity1,commodity2,commodity3,commodity4,commodity5,commodity6,commodity7,commodity8,active_status
0,Quebec Copper,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Quebec,45.263786,-72.331764,1866,1958,N/A,N/A,N/A,N/A,Copper,Gold,Silver,N/A,N/A,N/A,N/A,N/A,False
1,Noland Mines,N/A,N/A,N/A,N/A,N/A,Spruce Creek,Atlin,British Columbia,59.38272,-133.27033,1909,1950,1955,1989,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
2,Falconbridge Nickel Mines,N/A,N/A,N/A,N/A,N/A,Wesfrob (Tasu),Moresby Island,British Columbia,52.75834,-132.05,1914,1983,N/A,N/A,N/A,N/A,Iron,Copper,N/A,N/A,N/A,N/A,N/A,N/A,False
3,Greenwood Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nova Scotia,45.5502192,-62.56677981,1918,1966,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
4,Noranda Mines,Normetal Mining,Falconbridge,Xstrata,N/A,N/A,Horne,Noranda,Quebec,48.25427,-79.01128,1927,1976,N/A,N/A,N/A,N/A,Copper,Gold,Silver,Selenium,Tellurium,Pyrite,N/A,N/A,False
5,Domtar Construction Materials,Gypsum Lime and Alabastine Canada,N/A,N/A,N/A,N/A,Amaranth,Amaranth (Gypsumville),Manitoba,50.57638889,-98.73333333,1930,1964,N/A,N/A,N/A,N/A,Gypsum,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
6,General Chemical Canada,N/A,N/A,N/A,N/A,N/A,N/A,Amherstburg,Ontario,42.09538943,-83.08761897,1936,2001,N/A,N/A,N/A,N/A,Salt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
7,Dominion Magnesium,Chromasco,Timminco,N/A,N/A,N/A,Haley,Haley,Ontario,45.59888,-76.75171,1942,2022,N/A,N/A,N/A,N/A,Magnesium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
8,Canadian Exploration,N/A,N/A,N/A,N/A,N/A,Jersey Emerald,Salmo,British Columbia,49.09861,-117.22111,1944,1970,N/A,N/A,N/A,N/A,Lead,Zinc,Silver,Cadmium,Tungsten,Molybdenum,Gold,N/A,False
9,Kidd Copper Mines,Denison Copper Mines,N/A,N/A,N/A,N/A,"Gersdorffite, AER, and  Kidd Copper or  Howland Pit",Worthington,Ontario,46.39465,-81.43186,1946,1958,1965,1968,1965,1968,Nickel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
10,Mackeno Mines,Galkeno Mines,N/A,N/A,N/A,N/A,N/A,Galkeno Mine (MacLeod Mine),Yukon,63.92692,-135.36625,1946,1966,1978,1980,N/A,N/A,Silver,Lead,Zinc,Cadmium,N/A,N/A,N/A,N/A,False
11,Oreo Resources,Donalda Mines,Metall Mining and Thunderwood Resources,Kerralda Mines,N/A,N/A,Donalda (Keralda),Rouyn-Noranda,Quebec,48.262661,-78.98609,1948,1956,1970,1971,1994,1995,Gold,Copper,Zinc,Lead,Silver,N/A,N/A,N/A,False
12,Avon Coal,N/A,N/A,N/A,N/A,N/A,N/A,Minto,New Brunswick,46.128611,-66.081944,1950,1971,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
13,Noranda,Brunswick Mining and Smelting and Noranda Minerals,N/A,N/A,N/A,N/A,Stratmat (Halfmile),N/A,New Brunswick,47.30527778,-66.32,1951,2022,N/A,N/A,N/A,N/A,Zinc,Lead,Copper,Gold,Silver,N/A,N/A,N/A,True
14,Mountain Minerals,Mountain Mineral,Highwood Resources,Purcell Development,N/A,N/A,Mountainrals Division,Brisco,British Columbia,50.829721,-116.33055,1952,1977,N/A,N/A,N/A,N/A,Barite,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
15,Cassiar Asbestos,Cassiar Mining,Minroc Mines,Brinco Mining,N/A,N/A,N/A,Cassiar,British Columbia,59.324999,-129.81805,1952,1998,N/A,N/A,N/A,N/A,Asbestos,Chrysotile,Jade/Nephrite,Gemstones,Magnesium,N/A,N/A,N/A,False
16,Century Coals,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Alberta,51.2783727,-112.5293468,1954,1965,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
17,Marban Gold Mines,Maudore Minerals,Abcourt Mines,North American Palladium,N/A,N/A,N/A,Norrie,Quebec,48.137067,-77.97919,1961,1974,N/A,N/A,N/A,N/A,Gold,Silver,N/A,N/A,N/A,N/A,N/A,N/A,False
18,Steep Rock Iron Mines,OMYA,N/A,N/A,N/A,N/A,Calcite Division,Perth,Ontario,45.149689,-76.498756,1962,2022,N/A,N/A,N/A,N/A,Calcium Carbonate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
19,Cupra Mines,Sullivan Mining Group,N/A,N/A,N/A,N/A,Cupra (Mine Cupra-d'Estrie),Stratford,Quebec,45.771559,-71.309266,1965,1977,N/A,N/A,N/A,N/A,Copper,Zinc,Silver,Gold,Lead,Cadmium,Bismuth,N/A,False
20,New Imperial Mines,Whitehorse Copper Mines,N/A,N/A,N/A,N/A,N/A,Whitehorse,Yukon,60.73673403,-135.0834051,1967,1982,N/A,N/A,N/A,N/A,Copper,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
21,Madeleine Mines,N/A,N/A,N/A,N/A,N/A,Madeleine,Ste. Anne des Monts,Quebec,49.0,-66.01667,1969,1976,1979,1979,N/A,N/A,Copper,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
22,Sherritt Gordon Mines,Hudson Bay Mining and Smelting,N/A,N/A,N/A,N/A,Ruttan,Leaf Rapids,Manitoba,56.475,-99.63722222,1973,2001,N/A,N/A,N/A,N/A,Copper,Zinc,N/A,N/A,N/A,N/A,N/A,N/A,False
23,Marietta Resources International,Lacana Mines,Zemex,Suzorite Mica products of Boucherville,N/A,N/A,Parent Mica Deposit,Suzor,Quebec,47.93841183,-74.63460245,1976,2022,N/A,N/A,N/A,N/A,Mica,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
24,Baskatong Quartz Products,Sitec Quartz,SKW Canada,Hogan Holdings,N/A,N/A,Charlevoix,Charlevoix (Saint-Urbain),Quebec,47.7499003,-70.69671076,1977,2022,N/A,N/A,N/A,N/A,Silica,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
25,Long Lac Minerals,Lac Minerals,N/A,N/A,N/A,N/A,Bousquet (No. 1 and 2),Cadillac,Quebec,48.253881,-78.452902,1978,2002,N/A,N/A,N/A,N/A,Gold,Silver,Copper,Zinc,N/A,N/A,N/A,N/A,False
26,Luscar Stereo,Luscar Sterco,N/A,Westmoreland Coal Company,N/A,N/A,Coal Valley,Edson (Coal Valley),Alberta,53.04688892,-116.7098687,1978,2022,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
27,Long Lac Minerals,IAMGOLD,Quebec Mining Exploration Company,Silverstack Mines,N/A,N/A,Doyon or Silverstack,Cadillac,Quebec,48.2557,-78.519197,1980,2009,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
28,Canamax Resources,Hollinger Consolidated Gold Mines,Algoma Exploration and Development Company,Patricia Mines,N/A,N/A,Kremzar,N/A,Ontario,51.05136,-94.24474,1981,1988,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
29,Global Stone,Stelco,N/A,N/A,N/A,N/A,N/A,Ingersoll,Ontario,43.03784371,-80.88413506,1990,2000,N/A,N/A,N/A,N/A,Lime,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
30,Xstrata Nickel Canada,N/A,N/A,N/A,N/A,N/A,Onaping/Craig,N/A,Ontario,46.6441,-81.3669,1994,2009,N/A,N/A,N/A,N/A,Nickel,Copper,Cobalt,Platinum,Gold,Silver,Selenium,Tellurium,False
31,South Malartic Exploration,N/A,N/A,N/A,N/A,N/A,Croinor,Val d'Or,Quebec,48.110195,-77.018181,2004,2005,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
32,Hudson Bay Mining and Smelting,Potash of Saskatchewan,Agrium,N/A,N/A,N/A,Vascoy (Rocanville Division),Vanscoy,Saskatchewan,52.01,-107.08,1971,2014,2015,2022,N/A,N/A,Potash,Salt,N/A,N/A,N/A,N/A,N/A,N/A,True
33,COGEMA Resources,Denison Mines,OURD,AREVA Resources Canada,N/A,N/A,McClean Lake,McMahon,Saskatchewan,58.261669,-103.8030548,1999,2010,N/A,N/A,N/A,N/A,Uranium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
34,Dumbarton Mines,N/A,N/A,N/A,N/A,N/A,N/A,Bird River,Manitoba,50.46916667,-95.44555556,1922,1974,N/A,N/A,N/A,N/A,Nickel,Copper,N/A,N/A,N/A,N/A,N/A,N/A,False
35,Hudson Bay Mining and Smelting,N/A,N/A,N/A,N/A,N/A,Flin Flon,Flin Flon,Manitoba,56.7545,-101.069493,1929,1990,N/A,N/A,N/A,N/A,Copper,Zinc,Selenium,Tellerium,Gold,N/A,N/A,N/A,False
36,Nystone Chemicals,N/A,N/A,N/A,N/A,N/A,Brookfield,Truro,Nova Scotia,45.272512,-63.24060185,1944,2008,N/A,N/A,N/A,N/A,Barite,Barium,Siderite,N/A,N/A,N/A,N/A,N/A,False
37,Icon Syndicate,N/A,N/A,N/A,N/A,N/A,Icon Sullivan,Chibougamau,Quebec,50.238014,-73.811065,1967,1976,N/A,N/A,N/A,N/A,Copper,Silver,Zinc,N/A,N/A,N/A,N/A,N/A,False
38,Sodium Sulphate,Hudson Bay Mining and Smelting,Agassiz Resources,N/A,N/A,N/A,N/A,Alsask,Saskatchewan,51.339285,-109.8651447,1967,1971,N/A,N/A,N/A,N/A,Sodium Sulphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
39,Share Mines and Oils,N/A,N/A,N/A,N/A,N/A,Hanson Lake,Hanson Lake,Saskatchewan,54.67499654,-102.8494419,1967,1969,N/A,N/A,N/A,N/A,Zinc,Lead,Copper,Silver,N/A,N/A,N/A,N/A,False
40,British Columbia Molybdenum,Amax of Canada,N/A,N/A,N/A,N/A,Alice Arm,Kitsault,British Columbia,55.421943,-129.41944,1967,1982,N/A,N/A,N/A,N/A,Molybdenum,Silver,Lead,Zinc,Copper,Tungsten,N/A,N/A,False
41,Wasamac Mines,N/A,N/A,N/A,N/A,N/A,Wasamac 2,Arntfield,Quebec,48.212151,-79.198681,1968,1988,1998,2001,N/A,N/A,Gold,Copper,Silver,N/A,N/A,N/A,N/A,N/A,False
42,Tantalum Mining of Canada,N/A,N/A,N/A,N/A,N/A,Bernic Lake,Lac du Bonnet,Manitoba,50.42861111,-95.4525,1969,2016,N/A,N/A,N/A,N/A,Tantalum,Cesium,N/A,N/A,N/A,N/A,N/A,N/A,False
43,Cape Breton Development,N/A,N/A,N/A,N/A,N/A,Phalen,New Waterford,Nova Scotia,46.25314274,-60.09054688,1970,1976,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
44,Noranda Mines,N/A,N/A,N/A,N/A,N/A,N/A,Cadillac,Quebec,48.24999,-79.0164,1970,1980,N/A,N/A,N/A,N/A,Copper,Gold,Silver,Selenium,Tellurium,Pyrite,N/A,N/A,False
45,Chesbar Iron Powder,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Quebec,49.452351,-76.502154,1970,1971,N/A,N/A,N/A,N/A,Iron,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
46,Canadian Salt Company,N/A,N/A,N/A,N/A,N/A,N/A,Belle Plaine,Saskatchewan,50.39373442,-105.1557625,1970,2022,N/A,N/A,N/A,N/A,Salt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
47,Potash of Saskatchewan,N/A,N/A,N/A,N/A,N/A,Rocanville Division,Rocanville,Saskatchewan,50.458098,-101.5334994,1970,2022,N/A,N/A,N/A,N/A,Potash,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
48,Falconbridge Nickel Mines,N/A,N/A,N/A,N/A,N/A,Manibridge,Wabowden,Manitoba,54.70222222,-98.83722222,1971,1977,N/A,N/A,N/A,N/A,Nickel,Copper,N/A,N/A,N/A,N/A,N/A,N/A,False
49,Dawson Eldorado Gold Explorations,N/A,N/A,N/A,N/A,N/A,Plata,N/A,Yukon,63.58583333,-132.0319444,1972,2009,N/A,N/A,N/A,N/A,Silver,Lead,Gold,N/A,N/A,N/A,N/A,N/A,False
50,Miller Minerals a division of Miller Paving,Dymond Clay Products,N/A,N/A,N/A,N/A,Haileybury,Lake Timiskaming,Ontario,47.45408113,-79.67363424,1991,2022,N/A,N/A,N/A,N/A,Limestone,Lime,N/A,N/A,N/A,N/A,N/A,N/A,True
51,Luscar,N/A,N/A,N/A,N/A,N/A,Shand,Estevan,Saskatchewan,49.100149,-102.8797397,1992,2022,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
52,Brogan Mining Company,Greenhills Development,N/A,N/A,N/A,N/A,Sullivan Creek or Florence,Florence,Nova Scotia,46.27066384,-60.28226058,1997,2010,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
53,Richmont Mines,Rambler Metals and Mining PLC,N/A,N/A,N/A,N/A,Nugget Pond,Baie Verte,Newfoundland and Labrador,49.84502134,-55.77535906,1997,2010,N/A,N/A,N/A,N/A,Gold,Copper,N/A,N/A,N/A,N/A,N/A,N/A,False
54,Comox Mining,Canadian Collieries,N/A,N/A,N/A,N/A,N/A,N/A,British Columbia,49.631388,-125.03805,1888,1967,N/A,N/A,N/A,N/A,Coal,Fireclay,N/A,N/A,N/A,N/A,N/A,N/A,False
55,Kiena Gold Mines,Placer Dome,N/A,N/A,N/A,N/A,Kiena,Val dOr,Quebec,48.120858,-77.917978,1936,1996,2005,2013,2021,2022,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
56,Elder Mines,Peel Elder Mine,Abcourt Mines,N/A,N/A,N/A,Peel-Elder,Beauchastel,Quebec,48.286378,-79.130486,1944,1966,2016,2022,N/A,N/A,Gold,Silver,Copper,Lead,Silica,N/A,N/A,N/A,True
57,Mclntyre Coal Mines,CST Canada Coal,Up Energy Development Group,N/A,N/A,N/A,N/A,Grande Cache,Alberta,53.93860907,-119.1783886,1967,1972,2004,2015,2018,2020,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
58,Cusac Industries,Erikson Gold Mining,Total Erikson Resources,N/A,N/A,N/A,"Table Mountain, Cassiar Gold Property, Erikson, Jennie,() McDame Lake",Cassiar,British Columbia,59.195555,-129.68499,1978,1988,1994,2007,N/A,N/A,Gold,Silver,Zinc,Lead,Copper,Antimony,Bismuth,Cadmium,False
59,Ressources Nottaway,N/A,N/A,N/A,N/A,N/A,Vezza,N/A,Quebec,49.5329,-77.76671,1986,1988,1993,1997,2016,2019,Gold,Silver,N/A,N/A,N/A,N/A,N/A,N/A,False
60,Conuma Coal Resources,Walter Energy,N/A,N/A,N/A,N/A,Wolverine or Perry Creek,N/A,British Columbia,55.0861,-121.2453,2006,2014,2017,2022,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
61,Bighorn Mining,N/A,N/A,N/A,N/A,N/A,Vista,N/A,Alberta,53.403506,-117.36642,2019,2022,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
62,Graybec,Graybec Calc,N/A,N/A,N/A,N/A,Domlin,Marbleton,Quebec,45.617966,-71.604558,1824,2022,N/A,N/A,N/A,N/A,Lime,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
63,Johnsons Asbestos,Asbestos,N/A,N/A,N/A,N/A,N/A,Thetford Mines,Quebec,46.07861,-71.30056,1878,1964,N/A,N/A,N/A,N/A,Asbestos,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
64,McKinney Gold Mines,Pioneer Gold Mines of BC,Highland Bell,N/A,N/A,N/A,Cariboo-Amelia or Camps McKinney Gold,N/A,British Columbia,49.0625,-119.13861,1887,1962,N/A,N/A,N/A,N/A,Gold,Silver,Lead,Zinc,Copper,Pyrophyllite,Silica,N/A,False
65,Cape Breton Development,N/A,N/A,N/A,N/A,N/A,No. 26 Colliery,Glace Bay,Nova Scotia,46.17451388,-59.94872442,1900,1984,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
66,Kerr Addison Gold Mines,Deak Resources,N/A,N/A,N/A,N/A,N/A,Virginiatown,Ontario,48.13708,-79.58034,1900,1963,1990,1996,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
67,Sheep Creek Gold Mines,Aetna Investment,N/A,N/A,N/A,N/A,Sheep Creek (Queen or Yellowstone),N/A,British Columbia,49.143055,-117.13444,1900,1989,N/A,N/A,N/A,N/A,Gold,Silver,Lead,Zinc,Silica,N/A,N/A,N/A,False
68,London Pride Silver Mines,N/A,N/A,N/A,N/A,N/A,Cork-Province,slocan,British Columbia,49.907222,-117.07527,1900,1966,N/A,N/A,N/A,N/A,Silver,Zinc,Lead,Cadmium,Gold,Copper,N/A,N/A,False
69,Bras DOr Coal,N/A,N/A,N/A,N/A,N/A,N/A,Broughton,Nova Scotia,46.08324017,-59.97585717,1901,1969,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
70,Highland Bell,Mastodon Highland Bell Mines,Leitch Mines,Teck,N/A,N/A,N/A,Beaverdell,British Columbia,49.429166,-119.06222,1901,1978,N/A,N/A,N/A,N/A,Silver,Lead,Zinc,Gold,N/A,N/A,N/A,N/A,False
71,Canadian Gypsum,CGC,N/A,N/A,N/A,N/A,N/A,Hagersville,Ontario,43.01223,-80.01629,1902,2022,N/A,N/A,N/A,N/A,Gypsum,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
72,Silver Summit Mines,Consolidated Summit Mines,Barrick Resources,N/A,N/A,N/A,Savage (Silver Summit),N/A,Ontario,47.37574,-79.68324,1903,1964,N/A,N/A,N/A,N/A,Silver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
73,Canadian Refractories,Dresser Industries Canada,N/A,N/A,N/A,N/A,Kilmar or Dobbie?,Kilmar,Quebec,45.75139,-74.61833,1907,1993,N/A,N/A,N/A,N/A,Magnesitic Dolomite,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
74,Harrison Hibbert Mines,N/A,N/A,N/A,N/A,N/A,Mud,N/A,Ontario,47.41481,-79.62552,1907,1965,N/A,N/A,N/A,N/A,Silver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
75,Giant Mascot Mines,Golden Giant Mines Company,Siscoe Mines,Baroid of Canada,N/A,N/A,Giant Mascot,Hope,British Columbia,49.46444,-121.51361,1908,1983,N/A,N/A,N/A,N/A,Lead,Zinc,Silver,Copper,Barite,Antimony,Cadmium,N/A,False
76,HiHo Silver Mines,Ontario Government,Cleopatra Mining,La Rose Mines,Silver Miller Mines,Glen Lake Silver Mines,N/A,Cobalt,Ontario,47.37083,-79.66541,1909,1970,N/A,N/A,N/A,N/A,Silver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
77,McIntyre Porcupine Mines,N/A,N/A,N/A,N/A,N/A,McIntyre,N/A,Ontario,47.69009,-80.67301,1911,1984,N/A,N/A,N/A,N/A,Silver,Cobalt,N/A,N/A,N/A,N/A,N/A,N/A,False
78,Malagash Salt,Canadian Rock Salt The,N/A,N/A,N/A,N/A,Malagash salt,Malagash,Nova Scotia,45.79235,-63.32344,1918,1961,N/A,N/A,N/A,N/A,Salt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
79,Red Deer Valley Coal,N/A,N/A,N/A,N/A,N/A,Foothills,N/A,Alberta,53.06878004,-116.7956893,1918,1961,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
80,Reliance Fluorspar Mining Syndicate,Canadian Industrial Minerals,Wood Land Mineral Company,N/A,N/A,N/A,Howard,Huntingdon Township,Ontario,44.48671,-77.48011,1920,1951,N/A,N/A,N/A,N/A,Fluorspar,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
81,Westmin Resources,American Smelting and Refining Company,Blermah Mines,Ascot Resources,N/A,N/A,Premier,Silbak Premier Mine,British Columbia,56.054722,-130.0075,1921,1967,1989,1996,2009,2022,Gold,Silver,Lead,Zinc,Copper,N/A,N/A,N/A,True
82,Battle Mountain Canada and Teddy Bear Valley Mines,N/A,Kirkland Lake Gold,N/A,N/A,N/A,Holloway,Matheson,Ontario,48.523515,-79.74788,1922,1950,1996,2016,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
83,Timmins Nickel,N/A,N/A,N/A,N/A,N/A,Dome Mountain,Smithers,British Columbia,54.740333,-126.620667,1923,2022,N/A,N/A,N/A,N/A,Gold,Silver,Zinc,Lead,N/A,N/A,N/A,N/A,True
84,Yukon Consolidated Gold The,N/A,N/A,N/A,N/A,N/A,N/A,Dawson,Yukon,64.06435697,-139.4326899,1926,1966,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
85,Sylvanite Gold Mines,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ontario,48.15626,-80.02613,1927,1961,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
86,Natural Sodium Products,N/A,N/A,N/A,N/A,N/A,N/A,Dunkirk,Saskatchewan,50.03489906,-105.714431,1930,1950,N/A,N/A,N/A,N/A,Sodium Sulphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
87,Miramichi Lumber,N/A,N/A,N/A,N/A,N/A,N/A,Minto,New Brunswick,46.08333333,-66.01666667,1932,2009,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
88,Canadian Salt The,N/A,N/A,N/A,N/A,N/A,N/A,Neepawa,Manitoba,50.23611111,-99.46388889,1932,1970,N/A,N/A,N/A,N/A,Salt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
89,Victoria Gypsum,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nova Scotia,46.89361,-60.48389,1933,1955,N/A,N/A,N/A,N/A,Gypsum,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
90,Eldorado Mining and Refining,N/A,N/A,N/A,N/A,N/A,Eldorado,N/A,Northwest Territories,66.08384,-118.03657,1933,1960,1975,1982,N/A,N/A,Uranium,Radium,Silver,Copper,N/A,N/A,N/A,N/A,False
91,Union Mintere Exploration Mining,N/A,N/A,N/A,N/A,N/A,N/A,Pickle Lake,Ontario,51.46378453,-90.18529027,1935,1960,N/A,N/A,N/A,N/A,Copper,Nickel,N/A,N/A,N/A,N/A,N/A,N/A,False
92,Burwash Mining,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yukon,62.4625,-114.3166667,1935,1952,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
93,West Canadian Collieries,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Alberta,49.59245398,-114.4052802,1937,1961,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
94,Canadian Industrial Minerals,Magnet Cove Barium,N/A,N/A,N/A,N/A,N/A,Walton,Nova Scotia,45.23057047,-64.00633151,1941,1979,N/A,N/A,N/A,N/A,Barite,Silver,Lead,Zinc,N/A,N/A,N/A,N/A,False
95,Broulan Reef Mines,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ontario,48.51388,-81.21363,1944,1965,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
96,Yukon Explorations,N/A,N/A,N/A,N/A,N/A,N/A,close to forty mills,Yukon,64.23529521,-140.6717583,1946,1954,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
97,Hugh Pam Porcupine Mines,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ontario,48.51106,-81.17272,1948,1963,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
98,Discovery Mines,Transcontinental Resources,Arctic Red Resources,N/A,N/A,N/A,La Forma,N/A,Yukon,63.1875,-113.8958333,1950,1969,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
99,Copperfields Mining,Temagami Mining,N/A,N/A,N/A,N/A,N/A,Temagami,Ontario,46.96242,-80.03778,1952,1977,N/A,N/A,N/A,N/A,Cobalt,Gold,Silver,Nickel,Cobalt,Platinum,Palladium,N/A,False
100,International Nickel of Canada The,Inco Metals Company,Inco,N/A,N/A,N/A,Shebandowan,Thunder Bay,Ontario,48.596789,-90.247925,1952,1995,N/A,N/A,N/A,N/A,Nickel,Copper,N/A,N/A,N/A,N/A,N/A,N/A,False
101,Iron Ore of Canada,N/A,N/A,N/A,N/A,N/A,Carol Lake project or Knob Lake,Schefferville,Newfoundland and Labrador,54.791688,-66.80881,1954,1983,N/A,N/A,N/A,N/A,Iron,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
102,Anaconda American Brass,Blue Note Mining,N/A,N/A,N/A,N/A,Heath Steele,Restigouche,New Brunswick,47.29292,-66.06779,1955,1999,2007,2008,N/A,N/A,Zinc,Lead,Copper,Silver,N/A,N/A,N/A,N/A,False
103,Lyndhurst Mining,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Quebec,48.572282,-78.959584,1955,1957,N/A,N/A,N/A,N/A,Copper,Silver,Gold,Zinc,Lead,N/A,N/A,N/A,False
104,Gaspe Copper Mines,N/A,N/A,N/A,N/A,N/A,N/A,Murdochville,Quebec,48.97056,-65.52028,1955,1999,1984,2002,N/A,N/A,Copper,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
105,Consolidated Denison Mines,Denison Mines,Rio Algom Mines,N/A,N/A,N/A,Denison,Elliot Lake,Ontario,46.495597,-82.600236,1957,1992,N/A,N/A,N/A,N/A,Uranium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
106,Beauce Placer Mining,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Quebec,46.21785,-70.77873,1958,1963,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
107,Canadian Rock Salt The,N/A,N/A,N/A,N/A,N/A,Pugwash,Cumberland County (Pugwash),Nova Scotia,45.84167,-63.65389,1959,2022,N/A,N/A,N/A,N/A,Salt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
108,Northgate Patino Mines,Northgate Exploration,Patino Mining,Copper Rand Chibougamau Mines,Campbell Resources,N/A,Copper Rand,Chibougamau,Quebec,49.889332,-74.275314,1959,1997,2004,2008,N/A,N/A,Copper,Gold,Silver,N/A,N/A,N/A,N/A,N/A,False
109,Akasaba Gold Mines,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Quebec,48.042094,-77.581074,1960,1963,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
110,VenCan Gold and River Gold Mines,N/A,N/A,N/A,N/A,N/A,Edwards,Wawa,Ontario,48.31628,-84.3574,1960,2001,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
